timestamp,cpu_usage,ram_usage,disk_usage,disk_read_speed,disk_write_speed,network_upload_speed,network_download_speed,process_count,system_load,system_uptime,isolation_forest_result,reconstruction_error
2026-05-26 22:32:11.976429,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:18.158294,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:24.390520,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:30.561643,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:36.666890,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:42.763205,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:48.869543,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:32:54.955502,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:01.057400,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:07.150755,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:13.249013,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:19.357331,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:25.469391,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:33:31.578766,21.5,83.5,27.7,456.00 KB,13.59 MB,38.74 KB,42.30 KB,376,,11h 54m 2s,1,0.43404322428089986
2026-05-26 22:35:24.896844,34.9,93.7,16.4,263.32 MB,2.82 MB,782.93 KB,94.63 KB,367,,461h 7m 53s,1,0.824464016603439
2026-05-26 22:38:23.725219,9.6,94.7,16.4,7.63 MB,1.04 MB,192.87 KB,13.26 KB,367,,461h 10m 51s,-1,0.6878932807413396
2026-05-26 22:38:29.845717,6.5,92.9,16.4,27.83 MB,3.85 MB,152.27 KB,19.27 KB,367,,461h 10m 59s,-1,0.7936775737219135
2026-05-26 22:38:35.975994,6.5,92.9,16.4,27.83 MB,3.85 MB,152.27 KB,19.27 KB,367,,461h 10m 59s,-1,0.8913554322417733
2026-05-26 22:38:42.095151,17.0,94.0,16.4,2.64 MB,710.00 KB,114.94 KB,10.85 KB,365,,461h 11m 7s,1,0.8310243376757066
2026-05-26 22:38:48.295351,9.0,92.7,16.4,8.63 MB,6.98 MB,152.30 KB,10.65 KB,364,,461h 11m 15s,-1,0.8143004989746399
2026-05-26 22:38:54.407612,11.3,92.9,16.4,15.04 MB,714.00 KB,144.26 KB,43.55 KB,364,,461h 11m 23s,1,0.8433205081510886
2026-05-26 22:39:00.525266,11.3,92.9,16.4,15.04 MB,714.00 KB,144.26 KB,43.55 KB,364,,461h 11m 23s,1,0.8295662433616927
2026-05-26 22:39:06.607183,11.9,91.0,16.4,4.94 MB,531.00 KB,88.15 KB,6.65 KB,364,,461h 11m 31s,1,0.8941257142838005
2026-05-26 22:39:12.726736,25.6,91.6,16.4,14.96 MB,668.50 KB,151.19 KB,14.60 KB,364,,461h 11m 39s,1,0.897973087703997
2026-05-26 22:39:18.847582,12.0,92.1,16.4,28.34 MB,1.60 MB,169.03 KB,92.02 KB,364,,461h 11m 47s,1,0.9144076157499196
2026-05-26 22:39:24.954382,12.0,92.1,16.4,28.34 MB,1.60 MB,169.03 KB,92.02 KB,364,,461h 11m 47s,1,0.9002019755172455
2026-05-26 22:39:31.072053,8.9,92.3,16.4,303.58 MB,2.68 MB,154.63 KB,138.08 KB,365,,461h 11m 55s,-1,0.8844050116661661
2026-05-26 22:39:37.263769,7.3,92.7,16.4,5.71 MB,2.49 MB,162.63 KB,78.07 KB,365,,461h 12m 3s,-1,0.8788062200958144
2026-05-26 22:39:43.375325,24.4,93.7,16.4,8.69 MB,4.07 MB,130.05 KB,65.81 KB,365,,461h 12m 11s,1,0.848870469751336
2026-05-26 22:39:49.491821,24.4,93.7,16.4,8.69 MB,4.07 MB,130.05 KB,65.81 KB,365,,461h 12m 11s,1,0.7744004934293616
2026-05-26 22:39:55.623728,7.2,93.8,16.4,33.72 MB,8.76 MB,232.20 KB,242.29 KB,365,,461h 12m 19s,-1,0.799322904071832
2026-05-26 22:40:01.795932,30.9,93.8,16.4,192.94 MB,75.60 MB,334.05 KB,25.62 KB,366,,461h 12m 27s,1,0.7202564591420355
2026-05-26 22:40:07.910522,10.2,94.1,16.4,160.47 MB,4.21 MB,208.10 KB,12.22 KB,366,,461h 12m 35s,-1,0.7299268512610312
2026-05-26 22:40:14.047153,11.8,93.8,16.4,18.29 MB,3.87 MB,234.70 KB,102.12 KB,366,,461h 12m 44s,-1,0.7922043845099294
2026-05-26 22:40:20.187679,11.8,93.8,16.4,18.29 MB,3.87 MB,234.70 KB,102.12 KB,366,,461h 12m 44s,-1,0.79331471395312
2026-05-26 22:40:26.317860,36.7,94.5,16.4,13.32 MB,1.09 MB,170.59 KB,34.64 KB,366,,461h 12m 52s,1,0.7083958697627285
2026-05-26 22:40:32.456324,13.8,93.1,16.4,357.71 MB,10.94 MB,164.15 KB,37.15 KB,366,,461h 13m 0s,1,0.6794661488100184
2026-05-26 22:40:38.566719,9.9,92.4,16.4,17.96 MB,2.37 MB,125.48 KB,29.49 KB,365,,461h 13m 8s,-1,0.6623818420941816
2026-05-26 22:40:44.656263,9.9,92.4,16.4,17.96 MB,2.37 MB,125.48 KB,29.49 KB,365,,461h 13m 8s,-1,0.7313794719546605
2026-05-26 22:40:50.770562,11.7,92.4,16.4,74.89 MB,2.34 MB,232.05 KB,92.97 KB,370,,461h 13m 16s,1,0.789906100947406
2026-05-26 22:40:56.889180,43.6,96.8,16.4,349.59 MB,4.05 MB,268.52 KB,38.34 KB,372,,461h 13m 24s,1,0.6713499639094237
2026-05-26 22:41:02.980878,16.4,94.0,16.4,256.63 MB,140.97 MB,131.06 KB,41.11 KB,368,,461h 13m 32s,1,0.7238945399053882
2026-05-26 22:41:09.083420,16.4,94.0,16.4,256.63 MB,140.97 MB,131.06 KB,41.11 KB,368,,461h 13m 32s,1,0.6897569029207882
2026-05-26 22:41:15.196516,11.2,94.1,16.4,41.45 MB,24.20 MB,145.42 KB,19.11 KB,368,,461h 13m 40s,-1,0.6926937419508529
2026-05-26 22:41:21.294671,9.1,94.4,16.4,30.83 MB,1.16 MB,160.90 KB,20.14 KB,368,,461h 13m 48s,-1,0.70834876994341
2026-05-26 22:41:27.408190,8.9,93.6,16.4,83.35 MB,2.78 MB,275.18 KB,30.66 KB,368,,461h 13m 56s,-1,0.8130291323706658
2026-05-26 22:41:33.525825,8.9,93.6,16.4,83.35 MB,2.78 MB,275.18 KB,30.66 KB,368,,461h 13m 56s,-1,0.8412803687394899
2026-05-26 22:41:39.637521,9.8,92.3,16.4,217.47 MB,13.01 MB,199.08 KB,73.15 KB,367,,461h 14m 4s,-1,0.8413358502467201
2026-05-26 22:41:45.730782,22.4,93.1,16.4,25.94 MB,8.58 MB,72.17 KB,134.91 KB,367,,461h 14m 12s,1,0.7791777240763191
2026-05-26 22:41:51.857762,22.8,92.7,16.4,71.91 MB,6.98 MB,371.85 KB,62.15 KB,367,,461h 14m 20s,1,0.7262814479397208
